1335000 | INFO  | P2 | DRV  | src=0100 tgt=1010 data=a4 gap=1
1335000 | INFO  | P2 | MONO | OUT src=1000 tgt=0111 data=53
1335000 | INFO  | P3 | MONO | OUT src=0010 tgt=1101 data=6f
1345000 | INFO  | P0 | MONI | ENQ_EXP src=0001 tgt=1111 data=0b cnt=34
1345000 | INFO  | P1 | MONI | ENQ_EXP src=0010 tgt=1111 data=38 cnt=34
1345000 | INFO  | P3 | MONI | ENQ_EXP src=1000 tgt=0011 data=a3 cnt=36
1345000 | INFO  | P0 | DRV  | src=0001 tgt=1111 data=0b gap=1
1345000 | INFO  | P0 | MONO | OUT src=0001 tgt=1111 data=44
1345000 | INFO  | P1 | DRV  | src=0010 tgt=1111 data=38 gap=1
1345000 | INFO  | P1 | MONO | OUT src=0001 tgt=1111 data=44
1345000 | INFO  | P2 | MONO | OUT src=0001 tgt=1111 data=44
1345000 | INFO  | P3 | DRV  | src=1000 tgt=0011 data=a3 gap=1
1345000 | INFO  | P3 | MONO | OUT src=0100 tgt=1010 data=8d
1355000 | WARN  | P2 | MONI | DROP_FULL src=0100 tgt=0011 data=93
1355000 | INFO  | P0 | MONO | OUT src=0010 tgt=1111 data=d8
1355000 | INFO  | P1 | MONO | OUT src=0010 tgt=1111 data=d8
1355000 | INFO  | P2 | DRV  | src=0100 tgt=0011 data=93 gap=0
1355000 | INFO  | P2 | MONO | OUT src=0010 tgt=1111 data=d8
1355000 | INFO  | P3 | MONO | OUT src=1000 tgt=1111 data=74
1365000 | INFO  | P1 | MONI | ENQ_EXP src=0010 tgt=0001 data=bf cnt=35
1365000 | INFO  | P3 | MONI | ENQ_EXP src=1000 tgt=0010 data=05 cnt=37
1365000 | INFO  | P0 | MONO | OUT src=0100 tgt=0011 data=3f
1365000 | INFO  | P1 | DRV  | src=0010 tgt=0001 data=bf gap=0
1365000 | INFO  | P1 | MONO | OUT src=0100 tgt=0011 data=3f
1365000 | INFO  | P2 | MONO | OUT src=1000 tgt=1111 data=74
1365000 | INFO  | P3 | DRV  | src=1000 tgt=0010 data=05 gap=0
1365000 | INFO  | P3 | MONO | OUT src=0001 tgt=1111 data=44
1375000 | WARN  | P0 | MONI | DROP_FULL src=0001 tgt=1000 data=b0
1375000 | INFO  | P0 | DRV  | src=0001 tgt=1000 data=b0 gap=1
1375000 | INFO  | P0 | MONO | OUT src=1000 tgt=1111 data=74
1375000 | INFO  | P1 | MONO | OUT src=1000 tgt=1111 data=74
1375000 | INFO  | P3 | MONO | OUT src=0010 tgt=1111 data=d8
1385000 | INFO  | P2 | MONI | ENQ_EXP src=0100 tgt=1011 data=a8 cnt=35
1385000 | WARN  | P3 | MONI | DROP_FULL src=1000 tgt=0110 data=20
1385000 | INFO  | P1 | MONO | OUT src=0001 tgt=1110 data=87
1385000 | INFO  | P2 | DRV  | src=0100 tgt=1011 data=a8 gap=1
1385000 | INFO  | P2 | MONO | OUT src=0001 tgt=1110 data=87
1385000 | INFO  | P3 | DRV  | src=1000 tgt=0110 data=20 gap=0
1385000 | INFO  | P3 | MONO | OUT src=0100 tgt=1000 data=76
1395000 | INFO  | P1 | MONI | ENQ_EXP src=0010 tgt=1111 data=a8 cnt=36
1395000 | INFO  | P0 | MONO | OUT src=0010 tgt=0101 data=01
1395000 | INFO  | P1 | DRV  | src=0010 tgt=1111 data=a8 gap=1
1395000 | INFO  | P1 | MONO | OUT src=1000 tgt=0011 data=57
1395000 | INFO  | P2 | MONO | OUT src=0010 tgt=0101 data=01
1395000 | INFO  | P3 | MONO | OUT src=0001 tgt=1110 data=87
1405000 | INFO  | P0 | MONI | ENQ_EXP src=0001 tgt=1111 data=19 cnt=35
1405000 | INFO  | P0 | DRV  | src=0001 tgt=1111 data=19 gap=1
1405000 | INFO  | P0 | MONO | OUT src=1000 tgt=0011 data=57
1405000 | INFO  | P1 | MONO | OUT src=0100 tgt=1010 data=a4
1405000 | INFO  | P3 | MONO | OUT src=0100 tgt=1010 data=a4
